study,subject_nr,gender,age,race,condition,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
2,17,Female,37,White,ba_tj,NA,NA,NA,NA,NA,1,3,3,3,3,2.6767676767676765
2,18,Female,18,White,ba_rec,NA,NA,NA,NA,NA,NA,5,2,5,1,4.333333333333333
2,19,Male,58,White,ba_rec,NA,NA,NA,0,NA,NA,7,4,5,1,3.015151515151515
2,20,Female,32,Black/African American,ba_ts,NA,0.5,NA,NA,NA,NA,5,1,3,1,1.8282828282828283
2,21,Male,26,Asian,bp_ts,1,NA,NA,NA,NA,NA,1,1,1,1,3.287878787878788
2,22,Female,47,White,ba_tj,NA,NA,NA,NA,NA,1,4,4,1,1,3.4898989898989896
2,23,Male,25,White,ba_tj,NA,NA,NA,NA,NA,0.17,4,4,1,1,3.4242424242424243
2,24,Male,34,White,ba_rec,NA,NA,NA,0.17,NA,NA,2,2,1,1,2.606060606060606
2,25,Female,49,White,ba_ts,NA,0,NA,NA,NA,NA,7,7,5,5,3.5505050505050506
2,26,Male,30,White,bp_tj,NA,NA,NA,NA,0.5,NA,2,6,1,4,2.727272727272727
2,27,Female,29,White,ba_ts,NA,0.25,NA,NA,NA,NA,2,2,2,3,2.5656565656565657
2,28,Male,69,White,bp_rec,NA,NA,1,NA,NA,NA,5,3,4,1,3.621212121212121
2,29,Male,38,White,bp_rec,NA,NA,0.76,NA,NA,NA,4,4,1,1,2.525252525252525
2,30,Female,39,White,ba_rec,NA,NA,NA,NA,NA,NA,4,4,1,1,3.5
2,31,Male,30,Black/African American,bp_rec,NA,NA,5,NA,NA,NA,3,3,2,1,3.1616161616161618
2,32,Female,28,White,ba_tj,NA,NA,NA,NA,NA,2.17,1,1,1,1,2.3484848484848486
2,33,Female,55,White,ba_rec,NA,NA,NA,0,NA,NA,4,1,1,1,2.97979797979798
2,34,Male,61,White,bp_tj,NA,NA,NA,NA,NA,NA,5,7,1,5,3.3434343434343434
2,35,Male,56,White,bp_ts,1,NA,NA,NA,NA,NA,4,6,1,1,3.9696969696969697
2,36,Male,26,Black/African American,bp_rec,NA,NA,0.53,NA,NA,NA,2,2,2,2,2.9343434343434343
